"time","snowdepth"
"16.11.2014",11
"17.11.2014",9
"18.11.2014",9
"19.11.2014",11
"20.11.2014",13
"21.11.2014",13
"22.11.2014",13
"23.11.2014",11
"24.11.2014",6
"25.11.2014",6
"26.11.2014",5
"27.11.2014",5
"28.11.2014",5
"29.11.2014",5
"30.11.2014",5
"01.12.2014",5
"02.12.2014",3
"03.12.2014",3
"04.12.2014",3
"05.12.2014",3
"06.12.2014",3
"07.12.2014",3
"08.12.2014",5
"09.12.2014",4
"10.12.2014",7
"11.12.2014",5
"12.12.2014",15
"13.12.2014",17
"14.12.2014",8
"15.12.2014",20
"16.12.2014",15
"17.12.2014",16
"18.12.2014",12
"19.12.2014",12
"20.12.2014",12
"21.12.2014",12
"22.12.2014",12
"23.12.2014",12
"24.12.2014",12
"25.12.2014",12
"26.12.2014",12
"27.12.2014",12
"28.12.2014",12
"29.12.2014",7
"30.12.2014",7
"31.12.2014",8
"01.01.2015",8
"02.01.2015",8
"03.01.2015",9
"04.01.2015",9
"05.01.2015",9
"06.01.2015",9
"07.01.2015",9
"08.01.2015",7
"09.01.2015",7
"10.01.2015",7
"11.01.2015",7
"12.01.2015",7
"13.01.2015",6
"14.01.2015",6
"15.01.2015",5
"16.01.2015",5
"17.01.2015",5
"18.01.2015",5
"19.01.2015",5
"20.01.2015",6
"21.01.2015",6
"22.01.2015",3
"23.01.2015",3
"24.01.2015",3
"25.01.2015",3
"26.01.2015",3
"27.01.2015",0
"28.01.2015",0
"29.01.2015",0
"30.01.2015",0
"31.01.2015",0
"01.02.2015",0
"02.02.2015",0
"03.02.2015",0
"04.02.2015",5
"05.02.2015",5
"06.02.2015",5
"07.02.2015",5
"08.02.2015",5
"09.02.2015",0
"10.02.2015",0
"11.02.2015",0
"12.02.2015",0
"13.02.2015",0
"14.02.2015",0
"15.02.2015",0
"16.02.2015",0
"17.02.2015",0
"18.02.2015",0
"19.02.2015",0
"20.02.2015",0
"21.02.2015",0
"22.02.2015",0
"23.02.2015",0
"24.02.2015",0
"25.02.2015",0
"26.02.2015",0
"27.02.2015",0
"28.02.2015",0
"01.03.2015",0
"02.03.2015",0
"03.03.2015",0
"04.03.2015",5
"05.03.2015",6
"06.03.2015",6
"07.03.2015",6
"08.03.2015",7
"09.03.2015",7
"10.03.2015",0
"11.03.2015",0
"12.03.2015",0
"13.03.2015",0
"14.03.2015",0
"15.03.2015",0
"16.03.2015",0
"17.03.2015",0
"18.03.2015",0
"19.03.2015",0
"20.03.2015",0
"21.03.2015",0
"22.03.2015",0
"23.03.2015",7
"24.03.2015",7
"25.03.2015",7
"26.03.2015",7
"27.03.2015",10
"28.03.2015",10
"29.03.2015",10
"30.03.2015",9
"31.03.2015",9
"01.04.2015",9
"02.04.2015",9
"03.04.2015",9
"04.04.2015",9
"05.04.2015",9
"06.04.2015",9
"07.04.2015",9
"08.04.2015",9
"09.04.2015",9
"10.04.2015",9
"11.04.2015",10
"12.04.2015",10
"13.04.2015",9
"14.04.2015",9
"15.04.2015",9
"16.04.2015",9
"17.04.2015",6
"18.04.2015",6
"19.04.2015",8
"20.04.2015",8
"21.04.2015",8
"22.04.2015",7
"23.04.2015",7
