"time","snowdepth"
"29.03.2017",30
"30.03.2017",30
"31.03.2017",32
"01.04.2017",32
"02.04.2017",32
"03.04.2017",32
"04.04.2017",32
"05.04.2017",32
"06.04.2017",32
"07.04.2017",30
"08.04.2017",30
"09.04.2017",31
"10.04.2017",32
"11.04.2017",32
"12.04.2017",32
"13.04.2017",32
"14.04.2017",32
"15.04.2017",32
"16.04.2017",32
"17.04.2017",32
"18.04.2017",32
"19.04.2017",30
"20.04.2017",30
"21.04.2017",30
"22.04.2017",30
"23.04.2017",30
"24.04.2017",30
"25.04.2017",30
"26.04.2017",30
"27.04.2017",29
"28.04.2017",29
"29.04.2017",28
"30.04.2017",28
"01.05.2017",25
"02.05.2017",25
"03.05.2017",25
"04.05.2017",16
"05.05.2017",16
"06.05.2017",16
"07.05.2017",16
"08.05.2017",15
"09.05.2017",15
"10.05.2017",15
"11.05.2017",14
"12.05.2017",13
"13.05.2017",13
"14.05.2017",13
"15.05.2017",13
"16.05.2017",12
"17.05.2017",12
"18.05.2017",14
"19.05.2017",14
"20.05.2017",14
"21.05.2017",14
"22.05.2017",12
"23.05.2017",12
"24.05.2017",8
"25.05.2017",8
"26.05.2017",7
"27.05.2017",0
"28.05.2017",0
"29.05.2017",0
"30.05.2017",0
"31.05.2017",0
"01.06.2017",0
"02.06.2017",0
"03.06.2017",0
"05.06.2017",0
"06.06.2017",0
"07.06.2017",0
"08.06.2017",0
"09.06.2017",0
"10.06.2017",0
"11.06.2017",0
"12.06.2017",0
"13.06.2017",0
"14.06.2017",0
"15.06.2017",0
"16.06.2017",0
"17.06.2017",0
"18.06.2017",0
"19.06.2017",0
"20.06.2017",0
"21.06.2017",0
"22.06.2017",0
"23.06.2017",0
"24.06.2017",0
"25.06.2017",0
"26.06.2017",0
"27.06.2017",0
"28.06.2017",0
"29.06.2017",0
"30.06.2017",0
"01.07.2017",0
"02.07.2017",0
"03.07.2017",0
"04.07.2017",0
"05.07.2017",0
"06.07.2017",0
"07.07.2017",0
"08.07.2017",0
"09.07.2017",0
"10.07.2017",0
"11.07.2017",0
"12.07.2017",0
"13.07.2017",0
"14.07.2017",0
"15.07.2017",0
"16.07.2017",0
"17.07.2017",0
"18.07.2017",0
"19.07.2017",0
"20.07.2017",0
"21.07.2017",0
"22.07.2017",0
"23.07.2017",0
"24.07.2017",0
"25.07.2017",0
"26.07.2017",0
"27.07.2017",0
"28.07.2017",0
"29.07.2017",0
"30.07.2017",0
"31.07.2017",0
"01.08.2017",0
"02.08.2017",0
"03.08.2017",0
"04.08.2017",0
"05.08.2017",0
"06.08.2017",0
"07.08.2017",0
"08.08.2017",0
"09.08.2017",0
"10.08.2017",0
"11.08.2017",0
"12.08.2017",0
"13.08.2017",0
"14.08.2017",0
"15.08.2017",0
"16.08.2017",0
"17.08.2017",0
"18.08.2017",0
"19.08.2017",0
"20.08.2017",0
"21.08.2017",0
"22.08.2017",0
"23.08.2017",0
"24.08.2017",0
"25.08.2017",0
"26.08.2017",0
"27.08.2017",0
"28.08.2017",0
"29.08.2017",0
"30.08.2017",0
"31.08.2017",0
"01.09.2017",0
"02.09.2017",0
"03.09.2017",0
"04.09.2017",0
"05.09.2017",0
"06.09.2017",0
"07.09.2017",0
"08.09.2017",0
"09.09.2017",0
"10.09.2017",0
"11.09.2017",0
"12.09.2017",0
"13.09.2017",0
"14.09.2017",0
"15.09.2017",0
"16.09.2017",0
"17.09.2017",0
"18.09.2017",0
"19.09.2017",0
"20.09.2017",0
"21.09.2017",0
"22.09.2017",0
"23.09.2017",0
"24.09.2017",0
"25.09.2017",0
"26.09.2017",0
"27.09.2017",0
"28.09.2017",0
"29.09.2017",0
"30.09.2017",0
"01.10.2017",0
